2018,2014,2010,2006,2002,1998,1994,1990,1986,1982,1978,1974,1970,1966,1962,1958,1954,1950
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brazil,Germany,Spain,Brazil,Brazil,France,Brazil,Germany,Argentina,Brazil,Brazil,West Germany,Brazil,England,Brazil,Brazil,Hungary,Argentina
2131,2134,2116,2080,2057,2076,2069,2080,2039,2114,2142,2127,2179,2087,2194,2139,2195,2079
4,8,8,5,5,19,5,9,4,5,5,10,6,3,6,6,7,2
1994,1901,1926,1984,1983,1731,1976,1876,1995,1975,1968,1838,1950,1991,1943,1928,1906,2017
0,2,1,0,17,3,3,2,8,1,2,1,1,4,0,3,0,0
8,48,21,53,225,64,120,80,161,24,72,16,146,140,104,165,61,?2
962,898,587,801,738,570,600,571,613,450,407,399,329,469,233,187,310,284
336,391,268,290,280,290,246,252,242,184,161,185,123,193,79,67,139,124
314,367,231,265,237,227,192,244,245,140,127,177,104,257,67,50,151,111
312,140,88,246,221,53,162,75,126,126,119,37,102,19,87,70,20,49
609,522,332,499,463,245,368,320,324,284,254,221,205,295,142,106,168,159
157,194,116,137,128,210,108,138,144,84,79,110,73,92,55,49,79,66
196,182,139,165,147,115,124,113,145,82,74,68,51,82,36,32,63,59
2089,2017,1136,1747,1618,1004,1298,1300,1224,1033,928,969,797,1464,571,453,879,638
880,1067,555,768,721,991,610,741,707,495,460,587,421,600,308,260,558,345
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Germany,Argentina,Netherlands,France,Netherlands,Brazil,Germany,Italy,Brazil,Italy,Netherlands,Netherlands,England,West Germany,Soviet Union,Hungary,Argentina,Brazil
2092,2051,2105,2061,2050,2052,1998,2017,2015,2020,2066,2087,2035,2035,2015,1967,2070,2014
8,5,16,18,17,5,9,8,5,9,21,22,3,12,32,6,2,7
1907,1982,1824,1755,1809,1981,1883,1896,1976,1893,1762,1744,1994,1809,1575,1921,2021,1908
0,2,1,1,3,?1,?1,2,3,6,0,14,?1,5,0,?1,0,2
45,30,74,85,55,?130,?15,54,96,106,?8,258,?49,119,5,?112,?18,30
940,961,699,680,591,670,618,480,490,401,373,340,507,318,97,352,293,115
409,341,328,342,278,262,266,234,204,194,182,173,208,145,30,153,127,47
380,378,284,259,248,212,265,181,155,153,165,148,274,143,47,176,117,29
151,242,87,79,65,196,87,65,131,54,26,19,25,30,20,23,49,39
548,512,348,318,278,420,349,254,304,210,166,146,318,168,61,193,165,61
201,212,195,222,181,114,146,104,92,90,134,126,98,98,20,88,68,36
191,237,156,140,132,136,123,122,94,101,73,68,91,52,16,71,60,18
2115,1805,1427,1220,1225,1467,1387,894,1096,783,820,755,1530,799,238,997,651,293
1102,1032,923,1057,852,665,786,540,527,493,670,635,626,525,146,617,352,191
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Spain,Brazil,Brazil,Italy,Spain,Italy,Spain,England,Soviet Union,England,Argentina,Brazil,West Germany,Portugal,Hungary,England,West Germany,England
2048,2042,2095,2020,1998,2020,1996,1990,1993,2016,2039,2036,2029,1987,1989,1944,2037,1999
7,4,4,8,8,8,8,3,24,3,4,5,11,25,6,3,12,3
1936,1991,1988,1910,1918,1905,1910,1991,1697,1993,1998,1962,1822,1682,1925,1996,1782,1996
1,?2,?2,4,3,3,6,4,?2,8,10,?2,0,19,4,0,5,?1
44,?90,?9,80,32,46,83,46,?12,120,133,?97,17,210,40,?58,121,?47
680,923,859,661,476,563,394,726,350,631,537,366,358,141,390,386,227,319
298,324,300,308,222,267,184,298,117,264,215,143,161,72,172,156,106,129
267,299,283,245,191,208,161,377,175,334,214,114,161,57,191,217,104,183
115,300,276,108,63,88,49,51,58,33,108,109,36,12,27,13,17,7
398,582,539,354,248,302,199,434,195,386,292,226,191,48,216,247,119,212
129,153,144,132,106,116,96,139,71,122,126,77,104,71,95,76,70,63
153,188,176,175,122,145,99,153,84,123,119,63,63,22,79,63,38,44
1354,2010,1867,1171,905,1028,725,1892,668,1745,1111,847,881,215,1082,1255,606,1085
617,859,807,669,484,597,422,779,356,721,632,440,562,282,662,494,407,391
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Argentina,Netherlands,Germany,Netherlands,Argentina,Netherlands,Italy,Yugoslavia,Spain,West Germany,West Germany,Poland,Italy,Soviet Union,Czechoslovakia,France,Brazil,Italy
1985,2030,2066,1990,1992,1994,1985,1980,1992,2010,2038,2031,2021,1978,1966,1935,2011,1975
5,16,8,17,5,18,8,19,8,9,10,33,9,30,10,23,7,9
1983,1832,1895,1816,1981,1801,1901,1767,1912,1864,1853,1638,1878,1606,1858,1634,1919,1873
?1,1,1,?2,?2,4,?2,5,10,?3,?3,1,0,?1,?1,8,0,?1
?20,26,105,?3,?27,54,?14,58,130,?99,?91,64,23,?3,?14,86,40,?13
1003,752,842,644,792,551,522,497,314,483,437,292,294,139,248,249,134,177
352,350,366,305,294,256,251,186,140,215,200,130,141,44,103,131,49,87
392,305,348,264,308,233,194,236,136,212,193,142,118,68,119,100,33,67
259,97,128,75,190,62,77,75,38,56,44,20,35,27,26,18,52,23
536,377,485,308,411,257,278,238,157,272,241,113,157,80,119,90,74,96
218,207,186,189,180,177,111,162,76,122,115,110,68,29,81,123,40,42
249,168,171,147,201,117,133,97,81,89,81,69,69,30,48,36,20,39
1884,1546,1877,1318,1492,1141,960,1014,578,1153,1045,574,618,305,552,466,340,397
1066,973,998,886,866,815,569,779,345,662,620,510,401,189,422,644,208,275
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
France,Colombia,Argentina,Argentina,France,Spain,Netherlands,Brazil,England,Soviet Union,England,England,Soviet Union,Argentina,Argentina,Argentina,England,Scotland
